dataset,model,attack_score,sample_size,metric,n_repeats,mean,std,p025,median,p975,interval_width,min,max,instability_note
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,250,AUC,200,0.7331483599999999,0.022023260763649848,0.6902289999999999,0.73366,0.7726014,0.08237240000000012,0.6684399999999999,0.7968879999999999,
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,250,TPR@0.1%FPR,200,0.010302666666666667,0.012649527154868848,0.0,0.005,0.04292500000000006,0.04292500000000006,0.0,0.07,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,250,TPR@1%FPR,200,0.04234228571428572,0.027023057100378337,0.006991666666666667,0.036950000000000004,0.10200000000000001,0.09500833333333333,0.0,0.15239999999999998,tail_resolution_warning: expected false positives < 5
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,250,membership_advantage@0.1%FPR,200,0.009302666666666667,0.012649527154868848,-0.001,0.004,0.04192500000000006,0.04292500000000006,-0.001,0.069,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,250,membership_advantage@1%FPR,200,0.03234228571428571,0.02702305710037834,-0.0030083333333333333,0.02695,0.09200000000000001,0.09500833333333335,-0.01,0.14239999999999997,tail_resolution_warning: expected false positives < 5
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,500,AUC,200,0.7355926700000001,0.014892623571260926,0.70695105,0.736372,0.7644669,0.057515849999999924,0.698088,0.771398,
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,500,TPR@0.1%FPR,200,0.007204083333333333,0.007531141840692095,0.0007479166666666667,0.00475,0.030100000000000023,0.029352083333333355,0.00025,0.04633333333333334,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,500,TPR@1%FPR,200,0.04337679365079365,0.019743710858199256,0.01065,0.040249999999999994,0.08805,0.0774,0.006666666666666667,0.10099999999999999,
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,500,membership_advantage@0.1%FPR,200,0.006204083333333335,0.007531141840692095,-0.00025208333333333327,0.00375,0.02910000000000002,0.029352083333333355,-0.00075,0.04533333333333334,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,500,membership_advantage@1%FPR,200,0.03337679365079366,0.019743710858199256,0.0006499999999999998,0.030249999999999996,0.07805000000000001,0.07740000000000001,-0.003333333333333333,0.091,
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,1000,AUC,200,0.7329750425,0.011050790064729187,0.7110471750000001,0.73362275,0.7524521250000001,0.041404949999999996,0.7074355,0.76242,
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,1000,TPR@0.1%FPR,200,0.00468410119047619,0.0033379001398908766,0.001424107142857143,0.0038166666666666666,0.015,0.013575892857142856,0.0008333333333333333,0.021,tail_resolution_warning: expected false positives < 5
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,1000,TPR@1%FPR,200,0.03868808659396159,0.011139333903168536,0.017292500000000002,0.03845833333333333,0.060582142857142855,0.04328964285714285,0.01,0.06944444444444445,
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,1000,membership_advantage@0.1%FPR,200,0.0036841011904761908,0.0033379001398908766,0.00042410714285714296,0.0028166666666666665,0.013999999999999999,0.013575892857142856,-0.00016666666666666674,0.02,tail_resolution_warning: expected false positives < 5
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,1000,membership_advantage@1%FPR,200,0.028688086593961593,0.011139333903168536,0.007292500000000003,0.028458333333333332,0.05058214285714285,0.04328964285714285,0.0,0.059444444444444446,
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,2500,AUC,200,0.733465388,0.006019650286688599,0.7210960719999999,0.7331304,0.7457704179999999,0.024674345999999958,0.71483136,0.74847112,
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,2500,TPR@0.1%FPR,200,0.004174198912362147,0.0019953639792544752,0.0020649999999999996,0.003725,0.009518750000000005,0.0074537500000000055,0.0015384615384615387,0.014685714285714286,tail_resolution_warning: expected false positives < 5
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,2500,TPR@1%FPR,200,0.03804359446684713,0.007336438730452236,0.026035454545454546,0.03766944444444445,0.05228400000000001,0.026248545454545465,0.0222,0.057339130434782615,
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,2500,membership_advantage@0.1%FPR,200,0.0031741989123621477,0.0019953639792544752,0.0010649999999999998,0.002725,0.008518750000000005,0.0074537500000000055,0.0005384615384615387,0.013685714285714287,tail_resolution_warning: expected false positives < 5
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,2500,membership_advantage@1%FPR,200,0.028043594466847132,0.007336438730452236,0.016035454545454544,0.027669444444444444,0.04228400000000001,0.026248545454545465,0.0122,0.04733913043478261,
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,5000,AUC,200,0.7330546458,0.003899604602593605,0.726552184,0.7328266400000001,0.7409101655,0.014357981500000006,0.7217671999999999,0.7426672599999999,
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,5000,TPR@0.1%FPR,200,0.003772460174019299,0.0008104633333862986,0.0025375,0.003685855263157895,0.005641883116883118,0.0031043831168831183,0.00208,0.006727272727272728,
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,5000,TPR@1%FPR,200,0.037343728038973484,0.004772910492010265,0.028933797297297295,0.03696121323529412,0.046442905660377364,0.01750910836308007,0.026370212765957447,0.04957209302325581,
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,5000,membership_advantage@0.1%FPR,200,0.002772460174019299,0.0008104633333862986,0.0015375,0.002685855263157895,0.004641883116883118,0.0031043831168831183,0.0010799999999999998,0.0057272727272727275,
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,5000,membership_advantage@1%FPR,200,0.027343728038973482,0.004772910492010265,0.018933797297297297,0.026961213235294115,0.03644290566037736,0.017509108363080065,0.016370212765957445,0.03957209302325581,
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,10000,AUC,200,0.7332668581249999,0.0018801693355436579,0.7292275771250001,0.73323246,0.7367344974999999,0.0075069203749997815,0.72782472,0.73745064,
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,10000,TPR@0.1%FPR,200,0.003695142110630287,0.0004106781487088559,0.0030232178968655206,0.003662280701754386,0.004725,0.0017017821031344795,0.002951219512195122,0.005,
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,10000,TPR@1%FPR,200,0.03741045048979639,0.0022841051016407347,0.03325584292289988,0.037379787644787645,0.04187977071551512,0.00862392779261524,0.031555294117647056,0.04473333333333334,
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,10000,membership_advantage@0.1%FPR,200,0.0026951421106302864,0.0004106781487088559,0.0020232178968655205,0.002662280701754386,0.003725,0.0017017821031344795,0.001951219512195122,0.004,
credit_default,random_forest_neg_loss_label_corruption_0p050,neg_loss,10000,membership_advantage@1%FPR,200,0.02741045048979639,0.0022841051016407347,0.023255842922899884,0.027379787644787643,0.03187977071551512,0.008623927792615237,0.021555294117647054,0.03473333333333334,
