dataset,model,attack_score,corruption_rate,repeat,metric,value,threshold,empirical_fpr,tie_fraction,n_members,n_nonmembers
credit_default,random_forest,neg_loss,0.0,canonical,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,canonical,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,canonical,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,canonical,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,canonical,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.005,canonical,AUC,0.7556003355555555,,,,15000,15000
credit_default,random_forest,neg_loss,0.005,canonical,TPR@1%FPR,0.04738604651162791,-0.0100503358989954,0.01,0.13178294573643412,15000,15000
credit_default,random_forest,neg_loss,0.005,canonical,membership_advantage@1%FPR,0.037386046511627906,-0.0100503358989954,0.01,0.13178294573643412,15000,15000
credit_default,random_forest,neg_loss,0.005,canonical,TPR@0.1%FPR,0.0048,0.0,0.001,0.3333333333333333,15000,15000
credit_default,random_forest,neg_loss,0.005,canonical,membership_advantage@0.1%FPR,0.0037999999999999996,0.0,0.001,0.3333333333333333,15000,15000
credit_default,random_forest,neg_loss,0.01,canonical,AUC,0.7542521666666666,,,,15000,15000
credit_default,random_forest,neg_loss,0.01,canonical,TPR@1%FPR,0.04819298245614035,-0.0100503358989954,0.01,0.15037593984962414,15000,15000
credit_default,random_forest,neg_loss,0.01,canonical,membership_advantage@1%FPR,0.03819298245614035,-0.0100503358989954,0.01,0.15037593984962414,15000,15000
credit_default,random_forest,neg_loss,0.01,canonical,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.01,canonical,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.02,canonical,AUC,0.7475260288888889,,,,15000,15000
credit_default,random_forest,neg_loss,0.02,canonical,TPR@1%FPR,0.04558245614035088,-0.0100503358989954,0.01,0.09022556390977447,15000,15000
credit_default,random_forest,neg_loss,0.02,canonical,membership_advantage@1%FPR,0.035582456140350875,-0.0100503358989954,0.01,0.09022556390977447,15000,15000
credit_default,random_forest,neg_loss,0.02,canonical,TPR@0.1%FPR,0.004931818181818182,0.0,0.001,0.34090909090909094,15000,15000
credit_default,random_forest,neg_loss,0.02,canonical,membership_advantage@0.1%FPR,0.003931818181818182,0.0,0.001,0.34090909090909094,15000,15000
credit_default,random_forest,neg_loss,0.05,canonical,AUC,0.7332247422222223,,,,15000,15000
credit_default,random_forest,neg_loss,0.05,canonical,TPR@1%FPR,0.0372246913580247,-0.005012542009353638,0.01,0.8703703703703705,15000,15000
credit_default,random_forest,neg_loss,0.05,canonical,membership_advantage@1%FPR,0.027224691358024695,-0.005012542009353638,0.01,0.8703703703703705,15000,15000
credit_default,random_forest,neg_loss,0.05,canonical,TPR@0.1%FPR,0.003660714285714286,0.0,0.001,0.26785714285714285,15000,15000
credit_default,random_forest,neg_loss,0.05,canonical,membership_advantage@0.1%FPR,0.002660714285714286,0.0,0.001,0.26785714285714285,15000,15000
