dataset,model,attack_score,corruption_rate,metric,n_repeats,mean,std,p025,median,p975,min,max
credit_default,random_forest,neg_loss,0.0,AUC,200,0.7584220711111113,1.1130090340862554e-16,0.7584220711111112,0.7584220711111112,0.7584220711111112,0.7584220711111112,0.7584220711111112
credit_default,random_forest,neg_loss,0.0,TPR@0.1%FPR,200,0.005069767441860465,0.0,0.005069767441860465,0.005069767441860465,0.005069767441860465,0.005069767441860465,0.005069767441860465
credit_default,random_forest,neg_loss,0.0,TPR@1%FPR,200,0.04873178294573643,6.956306463039096e-18,0.048731782945736435,0.048731782945736435,0.048731782945736435,0.048731782945736435,0.048731782945736435
credit_default,random_forest,neg_loss,0.0,membership_advantage@0.1%FPR,200,0.004069767441860466,8.69538307879887e-19,0.004069767441860465,0.004069767441860465,0.004069767441860465,0.004069767441860465,0.004069767441860465
credit_default,random_forest,neg_loss,0.0,membership_advantage@1%FPR,200,0.03873178294573643,0.0,0.03873178294573643,0.03873178294573643,0.03873178294573643,0.03873178294573643,0.03873178294573643
credit_default,random_forest,neg_loss,0.005,AUC,200,0.755816270788889,0.0003986181443430342,0.7550185543333333,0.7558470244444445,0.7566241677222222,0.7547591733333333,0.75688556
credit_default,random_forest,neg_loss,0.005,TPR@0.1%FPR,200,0.004957045372962774,0.00014519778655738583,0.004670895004625347,0.004931818181818182,0.005214285714285715,0.004553191489361703,0.005214285714285715
credit_default,random_forest,neg_loss,0.005,TPR@1%FPR,200,0.047785745603607224,0.0006334092414204239,0.04634051282051282,0.04791363636363637,0.04895661792914465,0.04590877192982456,0.04934512820512821
credit_default,random_forest,neg_loss,0.005,membership_advantage@0.1%FPR,200,0.003957045372962773,0.00014519778655738583,0.003670895004625347,0.003931818181818182,0.004214285714285715,0.003553191489361703,0.004214285714285715
credit_default,random_forest,neg_loss,0.005,membership_advantage@1%FPR,200,0.03778574560360723,0.0006334092414204238,0.036340512820512816,0.037913636363636365,0.03895661792914465,0.03590877192982456,0.039345128205128206
credit_default,random_forest,neg_loss,0.01,AUC,200,0.7531962916,0.0005936789595904075,0.7520241125000001,0.7532068722222223,0.7543704509444444,0.7516972666666666,0.7548250266666667
credit_default,random_forest,neg_loss,0.01,TPR@0.1%FPR,200,0.004808105426203985,0.00018977539135708136,0.0044375000000000005,0.0048,0.005214285714285715,0.004326530612244898,0.005365853658536585
credit_default,random_forest,neg_loss,0.01,TPR@1%FPR,200,0.0468161822023278,0.0008412868747835852,0.04519613450292398,0.04688771929824562,0.04824434417164344,0.04456,0.04921449275362319
credit_default,random_forest,neg_loss,0.01,membership_advantage@0.1%FPR,200,0.003808105426203986,0.00018977539135708134,0.0034375000000000005,0.0037999999999999996,0.004214285714285715,0.0033265306122448983,0.004365853658536585
credit_default,random_forest,neg_loss,0.01,membership_advantage@1%FPR,200,0.036816182202327796,0.0008412868747835852,0.03519613450292398,0.036887719298245615,0.038244344171643435,0.03456,0.03921449275362319
credit_default,random_forest,neg_loss,0.02,AUC,200,0.7480628303888889,0.0008324714051004882,0.746601458888889,0.7480281233333334,0.7497219013888888,0.7462458511111112,0.7508708644444444
credit_default,random_forest,neg_loss,0.02,TPR@0.1%FPR,200,0.004651614875288121,0.0002493922608572021,0.00422,0.004673913043478261,0.005214285714285715,0.00411764705882353,0.005365853658536585
credit_default,random_forest,neg_loss,0.02,TPR@1%FPR,200,0.045214675204716184,0.0012381911059185743,0.042888569532135344,0.04516414949191355,0.047775954394693204,0.041666666666666664,0.04926958637469587
credit_default,random_forest,neg_loss,0.02,membership_advantage@0.1%FPR,200,0.00365161487528812,0.0002493922608572021,0.0032199999999999998,0.003673913043478261,0.004214285714285715,0.0031176470588235297,0.004365853658536585
credit_default,random_forest,neg_loss,0.02,membership_advantage@1%FPR,200,0.03521467520471618,0.0012381911059185743,0.03288856953213534,0.03516414949191356,0.0377759543946932,0.03166666666666666,0.03926958637469587
credit_default,random_forest,neg_loss,0.05,AUC,200,0.7325834861,0.0014031369647522877,0.7299370230000001,0.7325718011111111,0.7353046449999999,0.7291787355555555,0.7369855000000001
credit_default,random_forest,neg_loss,0.05,TPR@0.1%FPR,200,0.004093595688451931,0.0003571189027594556,0.003423728813559323,0.00411764705882353,0.0048,0.003209677419354839,0.004931818181818182
credit_default,random_forest,neg_loss,0.05,TPR@1%FPR,200,0.040081911891655046,0.0017567766728488802,0.036851226935058705,0.04001907844043766,0.043263567727724,0.03487241379310345,0.04454083885209713
credit_default,random_forest,neg_loss,0.05,membership_advantage@0.1%FPR,200,0.003093595688451931,0.0003571189027594556,0.0024237288135593228,0.0031176470588235297,0.0037999999999999996,0.002209677419354839,0.003931818181818182
credit_default,random_forest,neg_loss,0.05,membership_advantage@1%FPR,200,0.030081911891655037,0.0017567766728488802,0.026851226935058706,0.03001907844043766,0.033263567727724,0.024872413793103447,0.034540838852097126
