dataset,model,attack_score,corruption_rate,n_nonmembers,target_fpr,expected_false_positives,warning
credit_default,random_forest,neg_loss,0.0,250,0.01,2.5,tail_resolution_warning
credit_default,random_forest,neg_loss,0.0,250,0.001,0.25,severe_tail_resolution_warning
credit_default,random_forest,neg_loss,0.0,500,0.01,5.0,
credit_default,random_forest,neg_loss,0.0,500,0.001,0.5,severe_tail_resolution_warning
credit_default,random_forest,neg_loss,0.0,1000,0.01,10.0,
credit_default,random_forest,neg_loss,0.0,1000,0.001,1.0,tail_resolution_warning
credit_default,random_forest,neg_loss,0.0,2500,0.01,25.0,
credit_default,random_forest,neg_loss,0.0,2500,0.001,2.5,tail_resolution_warning
credit_default,random_forest,neg_loss,0.0,5000,0.01,50.0,
credit_default,random_forest,neg_loss,0.0,5000,0.001,5.0,
credit_default,random_forest,neg_loss,0.0,10000,0.01,100.0,
credit_default,random_forest,neg_loss,0.0,10000,0.001,10.0,
credit_default,random_forest,neg_loss,0.0,15000,0.01,150.0,
credit_default,random_forest,neg_loss,0.0,15000,0.001,15.0,
credit_default,random_forest,neg_loss,0.005,250,0.01,2.5,tail_resolution_warning
credit_default,random_forest,neg_loss,0.005,250,0.001,0.25,severe_tail_resolution_warning
credit_default,random_forest,neg_loss,0.005,500,0.01,5.0,
credit_default,random_forest,neg_loss,0.005,500,0.001,0.5,severe_tail_resolution_warning
credit_default,random_forest,neg_loss,0.005,1000,0.01,10.0,
credit_default,random_forest,neg_loss,0.005,1000,0.001,1.0,tail_resolution_warning
credit_default,random_forest,neg_loss,0.005,2500,0.01,25.0,
credit_default,random_forest,neg_loss,0.005,2500,0.001,2.5,tail_resolution_warning
credit_default,random_forest,neg_loss,0.005,5000,0.01,50.0,
credit_default,random_forest,neg_loss,0.005,5000,0.001,5.0,
credit_default,random_forest,neg_loss,0.005,10000,0.01,100.0,
credit_default,random_forest,neg_loss,0.005,10000,0.001,10.0,
credit_default,random_forest,neg_loss,0.005,15000,0.01,150.0,
credit_default,random_forest,neg_loss,0.005,15000,0.001,15.0,
credit_default,random_forest,neg_loss,0.01,250,0.01,2.5,tail_resolution_warning
credit_default,random_forest,neg_loss,0.01,250,0.001,0.25,severe_tail_resolution_warning
credit_default,random_forest,neg_loss,0.01,500,0.01,5.0,
credit_default,random_forest,neg_loss,0.01,500,0.001,0.5,severe_tail_resolution_warning
credit_default,random_forest,neg_loss,0.01,1000,0.01,10.0,
credit_default,random_forest,neg_loss,0.01,1000,0.001,1.0,tail_resolution_warning
credit_default,random_forest,neg_loss,0.01,2500,0.01,25.0,
credit_default,random_forest,neg_loss,0.01,2500,0.001,2.5,tail_resolution_warning
credit_default,random_forest,neg_loss,0.01,5000,0.01,50.0,
credit_default,random_forest,neg_loss,0.01,5000,0.001,5.0,
credit_default,random_forest,neg_loss,0.01,10000,0.01,100.0,
credit_default,random_forest,neg_loss,0.01,10000,0.001,10.0,
credit_default,random_forest,neg_loss,0.01,15000,0.01,150.0,
credit_default,random_forest,neg_loss,0.01,15000,0.001,15.0,
credit_default,random_forest,neg_loss,0.02,250,0.01,2.5,tail_resolution_warning
credit_default,random_forest,neg_loss,0.02,250,0.001,0.25,severe_tail_resolution_warning
credit_default,random_forest,neg_loss,0.02,500,0.01,5.0,
credit_default,random_forest,neg_loss,0.02,500,0.001,0.5,severe_tail_resolution_warning
credit_default,random_forest,neg_loss,0.02,1000,0.01,10.0,
credit_default,random_forest,neg_loss,0.02,1000,0.001,1.0,tail_resolution_warning
credit_default,random_forest,neg_loss,0.02,2500,0.01,25.0,
credit_default,random_forest,neg_loss,0.02,2500,0.001,2.5,tail_resolution_warning
credit_default,random_forest,neg_loss,0.02,5000,0.01,50.0,
credit_default,random_forest,neg_loss,0.02,5000,0.001,5.0,
credit_default,random_forest,neg_loss,0.02,10000,0.01,100.0,
credit_default,random_forest,neg_loss,0.02,10000,0.001,10.0,
credit_default,random_forest,neg_loss,0.02,15000,0.01,150.0,
credit_default,random_forest,neg_loss,0.02,15000,0.001,15.0,
credit_default,random_forest,neg_loss,0.05,250,0.01,2.5,tail_resolution_warning
credit_default,random_forest,neg_loss,0.05,250,0.001,0.25,severe_tail_resolution_warning
credit_default,random_forest,neg_loss,0.05,500,0.01,5.0,
credit_default,random_forest,neg_loss,0.05,500,0.001,0.5,severe_tail_resolution_warning
credit_default,random_forest,neg_loss,0.05,1000,0.01,10.0,
credit_default,random_forest,neg_loss,0.05,1000,0.001,1.0,tail_resolution_warning
credit_default,random_forest,neg_loss,0.05,2500,0.01,25.0,
credit_default,random_forest,neg_loss,0.05,2500,0.001,2.5,tail_resolution_warning
credit_default,random_forest,neg_loss,0.05,5000,0.01,50.0,
credit_default,random_forest,neg_loss,0.05,5000,0.001,5.0,
credit_default,random_forest,neg_loss,0.05,10000,0.01,100.0,
credit_default,random_forest,neg_loss,0.05,10000,0.001,10.0,
credit_default,random_forest,neg_loss,0.05,15000,0.01,150.0,
credit_default,random_forest,neg_loss,0.05,15000,0.001,15.0,
