dataset,model,shadow_id,random_state,shadow_train_size,shadow_holdout_size,fit_seconds,shadow_member_neg_loss_mean,shadow_nonmember_neg_loss_mean
credit_default,random_forest,0,20961611,5000,5000,0.14420999999856576,-0.11462441086769104,-0.46107250452041626
credit_default,random_forest,1,20962620,5000,5000,0.1259156659943983,-0.11532961577177048,-0.47182783484458923
credit_default,random_forest,2,20963629,5000,5000,0.11767349997535348,-0.1161656528711319,-0.4671471118927002
credit_default,random_forest,3,20964638,5000,5000,0.11151691601844504,-0.11868586391210556,-0.4709168076515198
credit_default,random_forest,4,20965647,5000,5000,0.11408229201333597,-0.11572148650884628,-0.45414531230926514
credit_default,random_forest,5,20966656,5000,5000,0.1139478330151178,-0.11669042706489563,-0.4711664021015167
credit_default,random_forest,6,20967665,5000,5000,0.12267775001237169,-0.11716142296791077,-0.4616774022579193
credit_default,random_forest,7,20968674,5000,5000,0.12449199997354299,-0.11697148531675339,-0.4620618224143982
adult_income,random_forest,0,20861611,8000,8000,0.09473391599021852,-0.08420918136835098,-0.34795239567756653
adult_income,random_forest,1,20862620,8000,8000,0.10720841598231345,-0.0851181298494339,-0.3621116280555725
adult_income,random_forest,2,20863629,8000,8000,0.09693533304380253,-0.0832100510597229,-0.3788585066795349
adult_income,random_forest,3,20864638,8000,8000,0.1055790830287151,-0.0846497043967247,-0.3419312834739685
adult_income,random_forest,4,20865647,8000,8000,0.1110492090228945,-0.08654742687940598,-0.34466680884361267
adult_income,random_forest,5,20866656,8000,8000,0.09736529103247449,-0.08627613633871078,-0.3619726002216339
adult_income,random_forest,6,20867665,8000,8000,0.09881679201498628,-0.08366212993860245,-0.3945744037628174
adult_income,random_forest,7,20868674,8000,8000,0.10769637499470264,-0.08229763805866241,-0.35922834277153015
