reference_model,random_state,train_size,reference_train_fraction,fit_seconds,eval_holdout_count
0,20261602,15000,0.5,0.34400124999228865,15000
1,20261603,15000,0.5,0.34913670798414387,15000
2,20261604,15000,0.5,0.3627395830117166,15000
3,20261605,15000,0.5,0.36389995901845396,15000
4,20261606,15000,0.5,0.3497077090141829,15000
5,20261607,15000,0.5,0.3526309589797165,15000
6,20261608,15000,0.5,0.39277904099435546,15000
7,20261609,15000,0.5,0.39443341601872817,15000
8,20261610,15000,0.5,0.3850853339827154,15000
9,20261611,15000,0.5,0.39913816697662696,15000
10,20261612,15000,0.5,0.37139625000418164,15000
11,20261613,15000,0.5,0.41095912500168197,15000
