dataset,model,n_members,n_nonmembers,n_features,train_accuracy,nonmember_accuracy,accuracy_gap,best_auc,best_auc_score,neg_loss_tpr_at_1pct_fpr,neg_loss_tpr_at_0_1pct_fpr
credit_default,logistic_regression,15000,15000,23,0.8100666666666667,0.8104666666666667,-0.00039999999999995595,0.4966907555555555,neg_loss,0.0088,0.0005333333333333
credit_default,hist_gradient_boosting,15000,15000,23,0.8322,0.8220666666666666,0.010133333333333439,0.5165283933333333,neg_loss,0.0096,0.0011333333333333
credit_default,random_forest,15000,15000,23,0.9994,0.8145333333333333,0.18486666666666662,0.7584220711111112,modified_entropy,0.0487317829457364,0.0050697674418604
credit_default,extra_trees,15000,15000,23,0.9994,0.8097333333333333,0.18966666666666665,0.9976632533333334,neg_loss,0.9988,0.3654146341463414
credit_default,small_mlp,15000,15000,23,0.8213333333333334,0.8184,0.0029333333333333433,0.5032664155555555,modified_entropy,0.0100666666666666,0.0006
covertype,logistic_regression,290506,290506,54,0.724442868649873,0.7243981191438387,4.474950603428063e-05,0.5007097630501207,neg_entropy,0.009824237709376,0.000956950975195
covertype,hist_gradient_boosting,290506,290506,54,0.8430944627649687,0.8333975890343056,0.00969687373066308,0.5068155603841812,modified_entropy,0.0103924187452238,0.0009945652173913
covertype,random_forest,290506,290506,54,1.0,0.9449099158020833,0.05509008419791672,0.6996280525584669,neg_entropy,0.0314774615129028,0.0031477461512902
covertype,extra_trees,290506,290506,54,1.0,0.9441181937722457,0.055881806227754294,0.9768765533242,confidence,0.2162307406029028,0.0216230740602902
covertype,small_mlp,290506,290506,54,0.8415110187052935,0.8372150661260008,0.004295952579292717,0.5025561758802571,neg_loss,0.0106712425905144,0.0011359773371104
adult_income,logistic_regression,24421,24421,108,0.8556570165021907,0.8493509684288113,0.006306048073379422,0.5044702824897707,neg_loss,0.009786659022972,0.0014310347651611
adult_income,hist_gradient_boosting,24421,24421,108,0.8907497645469064,0.8709307563162851,0.019819008230621216,0.5116927139047025,modified_entropy,0.0097241445204264,0.0006551738258056
adult_income,random_forest,24421,24421,108,0.9999590516358872,0.8521764055525982,0.14778264608328895,0.6286392984362937,modified_entropy,0.0141473456121343,0.0014147345612134
adult_income,extra_trees,24421,24421,108,0.9999590516358872,0.8299414438393187,0.1700176077965685,0.8696655061924982,neg_loss,0.0383765519409083,0.0038376551940908
adult_income,small_mlp,24421,24421,108,0.8761311985586175,0.8495557102493755,0.026575488309242057,0.5129719491163599,neg_loss,0.0098742885221735,0.001065868263473
bank_marketing,logistic_regression,20594,20594,62,0.9009420219481402,0.900116538797708,0.0008254831504321825,0.5021225613176207,neg_loss,0.0102457026318345,0.0013596193065941
bank_marketing,hist_gradient_boosting,20594,20594,62,0.9126444595513257,0.8993881713120326,0.013256288239293035,0.5121685482304053,modified_entropy,0.0120909002622122,0.0013596193065941
bank_marketing,random_forest,20594,20594,62,0.9964552782363796,0.8956977760512771,0.10075750218510249,0.659716010104443,neg_loss,0.0250330639235855,0.0025033063923585
bank_marketing,extra_trees,20594,20594,62,0.9964552782363796,0.8829756239681461,0.11347965426823348,0.8806837586495497,neg_loss,0.0437010904425914,0.0043701090442591
bank_marketing,small_mlp,20594,20594,62,0.9058463630183549,0.8978828785083034,0.007963484510051466,0.507055381837111,modified_entropy,0.0115567641060503,0.0010682723123239
diabetes_readmission,logistic_regression,50883,50883,565,0.8885089322563529,0.8880569148831633,0.0004520173731895616,0.503825830484123,neg_loss,0.0105929288760489,0.0010022993927244
diabetes_readmission,hist_gradient_boosting,50883,50883,565,0.8902383900320343,0.8887840732661203,0.00145431676591401,0.5068766792214405,neg_loss,0.0096659002024251,0.0012075054536878
diabetes_readmission,random_forest,50883,50883,565,1.0,0.8884499734685455,0.11155002653145452,0.7989681991205796,modified_entropy,0.1158444768472476,0.0125781249999999
diabetes_readmission,extra_trees,50883,50883,565,1.0,0.8885678910441601,0.11143210895583988,0.9982017569718766,neg_loss,1.0,0.2780491803278688
diabetes_readmission,small_mlp,50883,50883,565,0.8901008195271505,0.8875459387221666,0.0025548808049838945,0.5103011613019532,modified_entropy,0.0113004343297368,0.0016704989878741
